2018,Nov
Nov,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
3,53.5 °F,45.5 °F,37.5 °F,37 °F,32.4 °F,27 °F,68 %,58 %,46 %,9 mph,4 mph,0 mph,30.26 in,30.09 in,29.92 in,0 in
4,47.5 °F,38.9 °F,30.3 °F,31 °F,28.1 °F,25 °F,81 %,67 %,54 %,7 mph,2 mph,0 mph,30.34 in,30.28 in,30.23 in,0 in
5,55.3 °F,42.3 °F,29.6 °F,36 °F,30.7 °F,24 °F,83 %,63 %,43 %,8 mph,2 mph,0 mph,30.38 in,30.26 in,30.15 in,0 in
6,53.1 °F,49.5 °F,45.9 °F,47 °F,40.6 °F,32 °F,91 %,72 %,50 %,12 mph,3 mph,0 mph,30.21 in,30.15 in,30.1 in,0.17 in
7,45.9 °F,44.2 °F,42.5 °F,43 °F,41.3 °F,40 °F,91 %,90 %,88 %,8 mph,3 mph,0 mph,30.27 in,30.2 in,30.14 in,0.78 in
8,42.7 °F,40 °F,37.2 °F,40 °F,36.6 °F,33 °F,91 %,90 %,88 %,13 mph,5 mph,0 mph,30.19 in,30.13 in,30.07 in,0.51 in
9,51.8 °F,44.2 °F,37 °F,38 °F,33 °F,30 °F,88 %,73 %,58 %,9 mph,4 mph,0 mph,30.28 in,30.23 in,30.17 in,0 in
10,59 °F,44.6 °F,30.8 °F,34 °F,29.6 °F,26 °F,88 %,62 %,30 %,7 mph,1 mph,0 mph,30.32 in,30.27 in,30.23 in,0 in
11,60.5 °F,49.5 °F,38.7 °F,42 °F,35.3 °F,30 °F,74 %,60 %,37 %,19 mph,5 mph,19 mph,30.27 in,30.15 in,30.02 in,0 in
12,63.4 °F,55.9 °F,48.4 °F,56 °F,49.2 °F,42 °F,86 %,80 %,70 %,16 mph,5 mph,0 mph,30.03 in,29.85 in,29.68 in,0 in
13,65.8 °F,55.4 °F,45 °F,60 °F,52 °F,41 °F,91 %,88 %,81 %,14 mph,3 mph,0 mph,29.74 in,29.64 in,29.53 in,0.4 in
14,48.9 °F,45.7 °F,42.4 °F,42 °F,40.2 °F,34 °F,91 %,85 %,63 %,15 mph,6 mph,18 mph,30.04 in,29.89 in,29.73 in,0.04 in
15,60.2 °F,49 °F,37.8 °F,36 °F,30.8 °F,28 °F,70 %,55 %,32 %,13 mph,3 mph,0 mph,30.16 in,30.1 in,30.03 in,0 in
16,66.1 °F,52 °F,38 °F,40 °F,34 °F,28 °F,70 %,54 %,25 %,10 mph,2 mph,0 mph,30.21 in,30.15 in,30.1 in,0 in
17,54 °F,47.5 °F,40.9 °F,42 °F,39 °F,35 °F,88 %,76 %,65 %,6 mph,1 mph,0 mph,30.2 in,30.13 in,30.06 in,0 in
18,63.9 °F,51.2 °F,38.7 °F,47 °F,41.2 °F,36 °F,91 %,74 %,51 %,6 mph,1 mph,0 mph,30.07 in,29.97 in,29.88 in,0 in
19,62.7 °F,56.9 °F,51.4 °F,52 °F,49.8 °F,45 °F,93 %,86 %,70 %,10 mph,2 mph,0 mph,29.88 in,29.77 in,29.67 in,0.05 in
20,60 °F,53 °F,45.9 °F,50 °F,35.8 °F,30 °F,93 %,57 %,34 %,20 mph,6 mph,18 mph,29.94 in,29.84 in,29.74 in,0.01 in
21,60 °F,48.1 °F,36.2 °F,33 °F,30.5 °F,27 °F,71 %,51 %,32 %,9 mph,2 mph,0 mph,29.98 in,29.87 in,29.76 in,0 in
22,67.5 °F,55.7 °F,44 °F,40 °F,36 °F,32 °F,73 %,55 %,34 %,19 mph,4 mph,19 mph,29.98 in,29.83 in,29.69 in,0 in
23,56.9 °F,49 °F,41.1 °F,38 °F,34.6 °F,32 °F,75 %,63 %,48 %,12 mph,3 mph,0 mph,30.29 in,30.12 in,29.96 in,0 in
24,61.9 °F,50.7 °F,39.7 °F,49 °F,39.1 °F,30 °F,73 %,64 %,50 %,13 mph,3 mph,0 mph,30.25 in,30.1 in,29.94 in,0 in
25,65.8 °F,60.8 °F,56 °F,57 °F,54.6 °F,48 °F,91 %,83 %,71 %,9 mph,2 mph,0 mph,30.05 in,30 in,29.96 in,0 in
26,66.1 °F,59.9 °F,53.8 °F,59 °F,56.5 °F,52 °F,95 %,86 %,75 %,16 mph,4 mph,19 mph,29.98 in,29.76 in,29.54 in,2.76 in
27,63.6 °F,52 °F,40.5 °F,52 °F,44.4 °F,32 °F,96 %,78 %,50 %,17 mph,5 mph,0 mph,29.93 in,29.72 in,29.5 in,0.31 in
28,47.1 °F,40.5 °F,34 °F,32 °F,28.9 °F,26 °F,80 %,66 %,53 %,12 mph,4 mph,0 mph,30.2 in,30.06 in,29.91 in,0 in
29,41.1 °F,37.8 °F,34.5 °F,31 °F,28.6 °F,27 °F,79 %,72 %,65 %,11 mph,4 mph,0 mph,30.3 in,30.22 in,30.15 in,0 in
30,41.5 °F,38.1 °F,34.7 °F,40 °F,33.7 °F,29 °F,98 %,85 %,78 %,6 mph,1 mph,0 mph,30.16 in,29.93 in,29.7 in,0.01 in
31,62.7 °F,51.1 °F,39.5 °F,44 °F,40.4 °F,39 °F,98 %,79 %,45 %,13 mph,4 mph,0 mph,30 in,29.82 in,29.64 in,0.65 in
2019,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Jan,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,43.9 °F,38.9 °F,34.2 °F,40 °F,32.9 °F,29 °F,91 %,84 %,75 %,12 mph,5 mph,18 mph,30.26 in,30.13 in,30 in,0 in
2,35.7 °F,33.8 °F,31.9 °F,35 °F,31.8 °F,28 °F,98 %,95 %,81 %,10 mph,3 mph,0 mph,30.24 in,30.11 in,29.99 in,0.98 in
3,40.5 °F,37.8 °F,35.1 °F,39 °F,36.3 °F,34 °F,98 %,98 %,96 %,8 mph,3 mph,0 mph,30.02 in,29.93 in,29.84 in,0.69 in
4,61 °F,48.6 °F,36.2 °F,38 °F,35.6 °F,34 °F,98 %,74 %,39 %,9 mph,2 mph,0 mph,29.98 in,29.9 in,29.83 in,0.02 in
5,72.5 °F,55.5 °F,38.7 °F,45 °F,39.4 °F,34 °F,88 %,62 %,30 %,9 mph,2 mph,0 mph,30.06 in,30.01 in,29.95 in,0 in
6,69.8 °F,57.4 °F,45 °F,59 °F,49.4 °F,39 °F,91 %,74 %,59 %,19 mph,4 mph,20 mph,30.02 in,29.92 in,29.82 in,0 in
7,75 °F,64.9 °F,55.1 °F,62 °F,51.2 °F,36 °F,98 %,67 %,30 %,20 mph,6 mph,20 mph,29.97 in,29.9 in,29.84 in,0 in
8,67.1 °F,57 °F,46.9 °F,43 °F,36.3 °F,27 °F,83 %,52 %,27 %,12 mph,3 mph,0 mph,30.37 in,30.17 in,29.96 in,0 in
9,61 °F,50 °F,39.5 °F,32 °F,27.6 °F,19 °F,74 %,47 %,22 %,9 mph,2 mph,0 mph,30.5 in,30.4 in,30.29 in,0 in
10,51.9 °F,47.6 °F,43.2 °F,34 °F,28.9 °F,25 °F,61 %,49 %,41 %,7 mph,2 mph,0 mph,30.32 in,30.19 in,30.07 in,0 in
11,53.5 °F,49.6 °F,45.7 °F,51 °F,41.9 °F,34 °F,98 %,79 %,60 %,9 mph,3 mph,0 mph,30.07 in,29.94 in,29.81 in,0.35 in
12,54.7 °F,47.9 °F,41.1 °F,54 °F,39.9 °F,34 °F,98 %,82 %,71 %,13 mph,5 mph,0 mph,30.2 in,29.99 in,29.78 in,0.01 in
13,41.1 °F,38.2 °F,35.5 °F,34 °F,32 °F,31 °F,86 %,80 %,75 %,11 mph,4 mph,0 mph,30.38 in,30.28 in,30.19 in,0 in
14,45.9 °F,40.7 °F,35.5 °F,35 °F,33.2 °F,31 °F,91 %,81 %,68 %,6 mph,2 mph,0 mph,30.42 in,30.35 in,30.27 in,0 in
15,50 °F,43.5 °F,36.9 °F,43 °F,38.6 °F,34 °F,91 %,83 %,73 %,8 mph,2 mph,0 mph,30.28 in,30.2 in,30.12 in,0 in
16,63.6 °F,54.3 °F,45.2 °F,56 °F,50.2 °F,43 °F,98 %,92 %,76 %,18 mph,6 mph,24 mph,30.14 in,30.05 in,29.96 in,0 in
17,57.3 °F,50.3 °F,43.4 °F,56 °F,48.6 °F,42 °F,98 %,88 %,69 %,17 mph,4 mph,20 mph,30.09 in,30.01 in,29.92 in,0 in
18,69 °F,55.8 °F,42.7 °F,62 °F,52.7 °F,42 °F,98 %,91 %,59 %,17 mph,4 mph,20 mph,30.03 in,29.79 in,29.55 in,0 in
19,62.1 °F,45.8 °F,29.6 °F,48 °F,29.9 °F,22 °F,98 %,75 %,59 %,20 mph,9 mph,20 mph,30.3 in,29.94 in,29.58 in,0.1 in
20,49 °F,36.5 °F,24.4 °F,28 °F,23.7 °F,21 °F,88 %,64 %,40 %,9 mph,2 mph,0 mph,30.33 in,30.22 in,30.1 in,0 in
21,59 °F,48.2 °F,37.4 °F,49 °F,36.8 °F,28 °F,83 %,68 %,51 %,16 mph,4 mph,18 mph,30.12 in,29.97 in,29.81 in,0 in
22,60.7 °F,48.6 °F,36.5 °F,59 °F,48.9 °F,27 °F,98 %,87 %,70 %,18 mph,6 mph,20 mph,30.02 in,29.86 in,29.7 in,0.04 in
23,47.7 °F,37.3 °F,27.1 °F,27 °F,23.2 °F,19 °F,75 %,62 %,40 %,15 mph,5 mph,18 mph,30.12 in,30.05 in,29.98 in,0 in
24,59.9 °F,46.2 °F,32.9 °F,33 °F,27.9 °F,23 °F,76 %,55 %,30 %,12 mph,3 mph,0 mph,30.25 in,30.1 in,29.96 in,0 in
25,54.4 °F,41.6 °F,28.8 °F,34 °F,29 °F,22 °F,79 %,64 %,45 %,8 mph,2 mph,0 mph,30.29 in,30.21 in,30.13 in,0 in
26,57.7 °F,46.7 °F,36.1 °F,38 °F,33.5 °F,29 °F,85 %,66 %,46 %,7 mph,1 mph,0 mph,30.19 in,30.12 in,30.05 in,0 in
27,64.4 °F,49.5 °F,34.9 °F,36 °F,32.8 °F,29 °F,98 %,62 %,30 %,9 mph,2 mph,0 mph,30.12 in,29.97 in,29.82 in,0 in
28,61.9 °F,51.9 °F,42.1 °F,43 °F,36.7 °F,26 °F,88 %,62 %,40 %,19 mph,4 mph,19 mph,30.15 in,29.93 in,29.72 in,0 in
