2018,Jan
Jan,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
6,49.6 °F,43.2 °F,36.7 °F,41.7 °F,37 °F,14 °F,99 %,84 %,60 %,14 mph,5 mph,14 mph,29.91 in,29.85 in,29.78 in,0.11 in
7,58.6 °F,46.8 °F,34.9 °F,36.9 °F,30.6 °F,25.9 °F,99 %,63 %,32 %,17 mph,6 mph,17 mph,30.16 in,30.03 in,29.91 in,0.01 in
8,69.3 °F,51.7 °F,34.3 °F,40.3 °F,33.1 °F,27.7 °F,88 %,53 %,22 %,9 mph,2 mph,9 mph,30.19 in,30.04 in,29.89 in,0 in
9,76.8 °F,64.8 °F,52.9 °F,64.2 °F,54.6 °F,37.2 °F,98 %,72 %,54 %,18 mph,6 mph,18 mph,29.89 in,29.74 in,29.59 in,0 in
10,64.9 °F,50 °F,35.1 °F,64.6 °F,42.9 °F,20.7 °F,99 %,93 %,75 %,17 mph,7 mph,17 mph,29.75 in,29.65 in,29.56 in,0 in
11,51.3 °F,41.3 °F,31.5 °F,28.6 °F,23.2 °F,19.9 °F,75 %,56 %,30 %,17 mph,6 mph,17 mph,30.05 in,29.88 in,29.72 in,0 in
12,55.2 °F,43.6 °F,32 °F,37.8 °F,30.1 °F,21.6 °F,82 %,64 %,42 %,11 mph,5 mph,107 mph,30.19 in,30.12 in,30.04 in,0.38 in
13,55.8 °F,49 °F,44.8 °F,49.1 °F,42.5 °F,7 °F,98 %,80 %,67 %,14 mph,4 mph,14 mph,30.17 in,30.1 in,30.03 in,0 in
14,83.5 °F,66.4 °F,49.5 °F,68.5 °F,58.9 °F,47.8 °F,99 %,86 %,57 %,24 mph,6 mph,24 mph,30.07 in,29.89 in,29.71 in,0 in
15,84.9 °F,70.8 °F,57 °F,70.3 °F,67.6 °F,19.6 °F,94 %,77 %,23 %,21 mph,10 mph,21 mph,29.72 in,29.64 in,29.56 in,0 in
16,73 °F,62.2 °F,51.3 °F,71.1 °F,43.6 °F,34 °F,98 %,56 %,31 %,39 mph,6 mph,39 mph,29.94 in,29.78 in,29.62 in,0 in
17,74.1 °F,60.4 °F,46.8 °F,57.4 °F,48.8 °F,-3.8 °F,99 %,76 %,45 %,13 mph,3 mph,13 mph,29.88 in,29.79 in,29.71 in,0.61 in
18,68.7 °F,60.4 °F,52.3 °F,67.6 °F,58.9 °F,51.1 °F,99 %,96 %,84 %,16 mph,5 mph,16 mph,29.86 in,29.7 in,29.54 in,0 in
19,82.8 °F,75.9 °F,68.9 °F,71.2 °F,69.2 °F,66.6 °F,97 %,78 %,59 %,24 mph,11 mph,24 mph,29.54 in,29.49 in,29.43 in,0 in
20,77.5 °F,60.2 °F,43 °F,74.3 °F,66.7 °F,42.3 °F,99 %,92 %,82 %,22 mph,9 mph,22 mph,29.85 in,29.66 in,29.47 in,0.9 in
21,68.4 °F,40.7 °F,38.3 °F,42.3 °F,39.7 °F,38.1 °F,99 %,98 %,97 %,17 mph,7 mph,17 mph,30.04 in,29.94 in,29.83 in,1.83 in
22,62.2 °F,46.1 °F,38.8 °F,45.1 °F,40.8 °F,30.4 °F,99 %,98 %,41 %,116 mph,4 mph,116 mph,30.03 in,29.97 in,29.91 in,0.32 in
23,57.6 °F,50.9 °F,44.2 °F,57 °F,49.4 °F,-5.8 °F,99 %,98 %,10 %,8 mph,2 mph,8 mph,29.95 in,29.85 in,29.74 in,0.34 in
24,71.6 °F,62.2 °F,52.9 °F,66.7 °F,55.8 °F,14.5 °F,99 %,83 %,48 %,22 mph,4 mph,22 mph,29.7 in,29.58 in,29.45 in,0.96 in
25,76.8 °F,61.2 °F,45.7 °F,52.9 °F,46.8 °F,16.5 °F,99 %,74 %,27 %,11 mph,2 mph,11 mph,30 in,29.81 in,29.63 in,0 in
26,70 °F,55 °F,39.9 °F,51.1 °F,44.7 °F,-12.3 °F,99 %,63 %,10 %,136 mph,5 mph,136 mph,29.97 in,29.89 in,29.81 in,0 in
27,64.9 °F,58.7 °F,52.5 °F,64.6 °F,56.9 °F,23.7 °F,99 %,92 %,65 %,13 mph,5 mph,13 mph,30.12 in,29.83 in,29.55 in,0.02 in
28,69.4 °F,59.5 °F,49.6 °F,69.1 °F,64.5 °F,-4.7 °F,99 %,96 %,10 %,178 mph,5 mph,178 mph,29.96 in,29.67 in,29.37 in,0.94 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Mar,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,66.6 °F,58.8 °F,51.1 °F,59 °F,50 °F,39.2 °F,99 %,79 %,46 %,17 mph,4 mph,17 mph,29.95 in,29.69 in,29.44 in,0.08 in
2,75.6 °F,58.6 °F,42.6 °F,45.7 °F,39.9 °F,23 °F,75 %,50 %,29 %,12 mph,4 mph,12 mph,30.05 in,29.96 in,29.87 in,0 in
3,75.7 °F,63.9 °F,52.2 °F,45.7 °F,42.6 °F,25.2 °F,72 %,47 %,27 %,17 mph,7 mph,17 mph,30.29 in,30.01 in,29.72 in,0 in
4,70 °F,65.9 °F,61.9 °F,66.6 °F,58.5 °F,24.1 °F,94 %,77 %,45 %,18 mph,7 mph,18 mph,30.16 in,29.82 in,29.48 in,0.01 in
5,73.8 °F,61.4 °F,48.9 °F,66.6 °F,38.1 °F,12.2 °F,94 %,47 %,10 %,21 mph,7 mph,21 mph,29.73 in,29.6 in,29.47 in,0 in
6,69.6 °F,54.2 °F,38.7 °F,40.3 °F,20.3 °F,9.9 °F,85 %,33 %,11 %,20 mph,6 mph,20 mph,29.93 in,29.74 in,29.54 in,0 in
7,63.9 °F,51.3 °F,39.2 °F,27.5 °F,17.9 °F,10.6 °F,47 %,29 %,15 %,20 mph,5 mph,20 mph,30.18 in,30.05 in,29.91 in,0 in
8,72.7 °F,58 °F,43.3 °F,30 °F,23.3 °F,15.8 °F,58 %,31 %,12 %,14 mph,5 mph,14 mph,29.96 in,29.81 in,29.65 in,0 in
9,76.1 °F,63.8 °F,51.6 °F,57.9 °F,47.7 °F,26.8 °F,78 %,57 %,32 %,27 mph,10 mph,27 mph,29.68 in,29.56 in,29.43 in,0 in
10,87.1 °F,74.4 °F,62.4 °F,62.4 °F,58.7 °F,20.1 °F,96 %,66 %,32 %,14 mph,5 mph,14 mph,29.96 in,29.64 in,29.32 in,0 in
11,70.9 °F,60.6 °F,50.2 °F,60.6 °F,37.1 °F,20.1 °F,93 %,43 %,18 %,26 mph,9 mph,26 mph,29.95 in,29.67 in,29.39 in,0.06 in
12,67.3 °F,53.4 °F,39.9 °F,34.2 °F,31 °F,22.3 °F,76 %,47 %,21 %,13 mph,4 mph,13 mph,30.09 in,30 in,29.91 in,0 in
13,67.8 °F,54.9 °F,42.3 °F,35.1 °F,24.4 °F,14 °F,63 %,36 %,13 %,14 mph,4 mph,14 mph,30.06 in,29.99 in,29.93 in,0 in
14,72.7 °F,55.9 °F,39.4 °F,37.8 °F,21 °F,10.8 °F,80 %,32 %,10 %,11 mph,3 mph,11 mph,30.04 in,29.91 in,29.77 in,0 in
15,78.6 °F,64.8 °F,51.1 °F,63.9 °F,43.4 °F,21.2 °F,95 %,47 %,25 %,28 mph,9 mph,28 mph,29.78 in,29.61 in,29.44 in,0 in
16,87.6 °F,75.2 °F,63.1 °F,61.5 °F,39 °F,12.2 °F,89 %,42 %,10 %,21 mph,8 mph,21 mph,29.98 in,29.69 in,29.41 in,0 in
17,84.6 °F,69.2 °F,53.8 °F,66.2 °F,43.4 °F,21.7 °F,97 %,48 %,20 %,11 mph,2 mph,11 mph,30.16 in,29.81 in,29.47 in,0.31 in
18,83.1 °F,70.7 °F,58.3 °F,66.7 °F,62.5 °F,39 °F,99 %,85 %,47 %,13 mph,4 mph,13 mph,30.14 in,29.7 in,29.27 in,0.06 in
19,74.1 °F,63.8 °F,53.6 °F,66.6 °F,34.6 °F,14.4 °F,90 %,37 %,15 %,23 mph,9 mph,23 mph,29.59 in,29.42 in,29.25 in,0 in
20,69.6 °F,56.8 °F,44.1 °F,38.8 °F,30.5 °F,19.8 °F,70 %,41 %,16 %,16 mph,6 mph,16 mph,29.78 in,29.7 in,29.62 in,0 in
21,76.8 °F,60.5 °F,44.2 °F,44.8 °F,29.9 °F,16.5 °F,79 %,36 %,12 %,12 mph,4 mph,12 mph,29.91 in,29.82 in,29.73 in,0 in
22,81 °F,67.8 °F,54.7 °F,49.6 °F,39.4 °F,26.4 °F,63 %,36 %,19 %,22 mph,9 mph,22 mph,29.95 in,29.84 in,29.73 in,0 in
23,76.1 °F,68.7 °F,61.3 °F,63.1 °F,58.1 °F,47.5 °F,85 %,71 %,49 %,28 mph,10 mph,28 mph,29.78 in,29.64 in,29.49 in,0 in
24,91.8 °F,78.7 °F,65.8 °F,63.1 °F,56.2 °F,43.2 °F,90 %,56 %,21 %,24 mph,6 mph,24 mph,29.54 in,29.5 in,29.45 in,0 in
25,76.1 °F,70 °F,63.9 °F,68.4 °F,61.1 °F,46 °F,96 %,73 %,45 %,14 mph,6 mph,14 mph,29.57 in,29.51 in,29.44 in,0 in
26,88.5 °F,78.3 °F,68.2 °F,67.1 °F,62 °F,56.8 °F,86 %,64 %,35 %,21 mph,9 mph,21 mph,29.57 in,29.51 in,29.44 in,0 in
27,73 °F,65.4 °F,57.9 °F,67.5 °F,63 °F,57.6 °F,99 %,90 %,67 %,16 mph,6 mph,16 mph,29.7 in,29.61 in,29.52 in,1.07 in
28,100.9 °F,78.8 °F,56.7 °F,99.9 °F,58.9 °F,44.1 °F,99 %,94 %,45 %,21 mph,3 mph,21 mph,29.62 in,29.53 in,29.44 in,0.56 in
29,77 °F,66 °F,55 °F,61.3 °F,52 °F,45.3 °F,99 %,70 %,37 %,16 mph,4 mph,16 mph,29.83 in,29.62 in,29.41 in,0 in
30,76.5 °F,62.2 °F,48 °F,47.1 °F,41.2 °F,28.8 °F,93 %,53 %,19 %,11 mph,4 mph,11 mph,30.03 in,29.93 in,29.83 in,0 in
31,79.9 °F,67.8 °F,55.8 °F,59 °F,52.7 °F,34.9 °F,81 %,58 %,41 %,22 mph,8 mph,22 mph,29.84 in,29.72 in,29.59 in,0 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Apr,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,72 °F,58.1 °F,44.2 °F,62.2 °F,55.5 °F,40.1 °F,92 %,81 %,64 %,17 mph,7 mph,17 mph,29.71 in,29.66 in,29.61 in,0 in
2,62.2 °F,51.6 °F,41 °F,59 °F,44.9 °F,37.2 °F,99 %,86 %,72 %,12 mph,3 mph,12 mph,29.71 in,29.53 in,29.36 in,0 in
3,92.8 °F,69.2 °F,52.5 °F,66.9 °F,53.6 °F,19.2 °F,94 %,61 %,18 %,26 mph,10 mph,26 mph,29.84 in,29.58 in,29.33 in,0.13 in
4,69.3 °F,54.7 °F,42.1 °F,30.7 °F,21.2 °F,12.2 °F,53 %,29 %,13 %,16 mph,5 mph,16 mph,30.08 in,29.95 in,29.83 in,0.41 in
5,126.9 °F,63.8 °F,51.4 °F,61.9 °F,43.7 °F,30.7 °F,80 %,51 %,33 %,21 mph,8 mph,21 mph,29.85 in,29.69 in,29.54 in,0 in
6,87.4 °F,69.4 °F,51.4 °F,67.6 °F,62.2 °F,10.9 °F,93 %,74 %,43 %,21 mph,8 mph,21 mph,29.57 in,29.42 in,29.26 in,0 in
7,59.7 °F,42.5 °F,34 °F,38.8 °F,32 °F,19.8 °F,85 %,72 %,60 %,24 mph,8 mph,24 mph,29.87 in,29.72 in,29.56 in,0 in
8,70.7 °F,47.6 °F,35.4 °F,43.9 °F,36.5 °F,29.7 °F,93 %,70 %,43 %,12 mph,4 mph,12 mph,29.8 in,29.65 in,29.5 in,0 in
9,74.3 °F,59.4 °F,44.4 °F,46.2 °F,40.5 °F,36.3 °F,90 %,46 %,28 %,14 mph,4 mph,14 mph,29.92 in,29.74 in,29.57 in,0 in
10,77.4 °F,62.2 °F,47.1 °F,45.1 °F,34.5 °F,17.6 °F,85 %,42 %,12 %,11 mph,4 mph,14 mph,30.08 in,29.97 in,29.86 in,0 in
11,82.9 °F,68.2 °F,53.6 °F,47.8 °F,40.5 °F,31.3 °F,58 %,38 %,19 %,21 mph,8 mph,22 mph,29.91 in,29.73 in,29.54 in,0 in
12,86 °F,74.2 °F,62.4 °F,65.8 °F,58.9 °F,24.1 °F,89 %,64 %,45 %,25 mph,12 mph,25 mph,29.56 in,29.43 in,29.3 in,0 in
13,88.5 °F,78.8 °F,69.8 °F,70.9 °F,63.1 °F,12.7 °F,94 %,68 %,10 %,36 mph,12 mph,36 mph,29.39 in,29.26 in,29.12 in,0.11 in
14,69.6 °F,57.8 °F,46.2 °F,35.2 °F,22.4 °F,14.7 °F,45 %,29 %,15 %,23 mph,10 mph,23 mph,29.76 in,29.57 in,29.38 in,0 in
15,68.2 °F,53 °F,37.9 °F,54.1 °F,18.8 °F,11.5 °F,98 %,30 %,12 %,23 mph,7 mph,23 mph,29.94 in,29.85 in,29.75 in,0.05 in
16,84.6 °F,64.2 °F,43.9 °F,53.1 °F,36.9 °F,19.2 °F,69 %,39 %,16 %,18 mph,5 mph,18 mph,29.95 in,29.78 in,29.61 in,0 in
17,87.3 °F,73.8 °F,60.4 °F,57.6 °F,53.9 °F,50.7 °F,78 %,53 %,31 %,26 mph,11 mph,26 mph,29.64 in,29.5 in,29.36 in,0 in
18,81 °F,69.4 °F,57.9 °F,63 °F,39.2 °F,17.6 °F,92 %,40 %,10 %,22 mph,7 mph,22 mph,29.85 in,29.62 in,29.39 in,0 in
19,74.8 °F,62 °F,49.1 °F,40.5 °F,28.8 °F,20.5 °F,61 %,29 %,14 %,17 mph,5 mph,17 mph,30.07 in,29.95 in,29.84 in,0 in
20,72 °F,61.7 °F,51.4 °F,44.8 °F,37.3 °F,29.8 °F,61 %,43 %,25 %,17 mph,8 mph,17 mph,29.99 in,29.85 in,29.71 in,0 in
21,70.2 °F,59 °F,54 °F,63 °F,51.5 °F,37.2 °F,99 %,78 %,56 %,19 mph,7 mph,19 mph,29.75 in,29.65 in,29.56 in,0.26 in
22,70.5 °F,61.3 °F,52.3 °F,52.7 °F,46.2 °F,41.7 °F,95 %,64 %,36 %,17 mph,6 mph,17 mph,29.79 in,29.74 in,29.68 in,0 in
23,79.5 °F,65.8 °F,52 °F,53.4 °F,50.5 °F,47.1 °F,91 %,65 %,35 %,14 mph,4 mph,14 mph,29.78 in,29.71 in,29.64 in,0 in
24,90.9 °F,73.1 °F,55.4 °F,58.1 °F,49.4 °F,42.1 °F,97 %,51 %,19 %,10 mph,2 mph,10 mph,29.8 in,29.72 in,29.65 in,0 in
25,72.1 °F,60.5 °F,48.9 °F,57.6 °F,52.5 °F,48 °F,99 %,80 %,43 %,17 mph,4 mph,17 mph,29.86 in,29.72 in,29.57 in,0.21 in
26,126.9 °F,61.2 °F,44.1 °F,53.1 °F,45.6 °F,40.1 °F,99 %,62 %,27 %,11 mph,2 mph,11 mph,29.92 in,29.76 in,29.6 in,0 in
27,86 °F,70.8 °F,56.1 °F,55.9 °F,46.9 °F,37 °F,90 %,49 %,21 %,10 mph,2 mph,10 mph,29.81 in,29.72 in,29.63 in,0 in
28,90.3 °F,70.4 °F,50.9 °F,54.3 °F,42.9 °F,28.9 °F,88 %,40 %,12 %,9 mph,2 mph,9 mph,29.76 in,29.69 in,29.62 in,0 in
29,87.6 °F,75.2 °F,63 °F,57.6 °F,51.2 °F,45.5 °F,69 %,44 %,24 %,17 mph,6 mph,17 mph,29.79 in,29.73 in,29.67 in,0 in
30,83.7 °F,65.2 °F,46.8 °F,61.9 °F,57.6 °F,30 °F,87 %,59 %,43 %,20 mph,8 mph,20 mph,30.04 in,29.82 in,29.59 in,0 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
May,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,81 °F,74.8 °F,68.7 °F,69.4 °F,66 °F,61.5 °F,88 %,76 %,62 %,23 mph,9 mph,23 mph,29.64 in,29.59 in,29.54 in,0 in
2,86.7 °F,78.9 °F,71.1 °F,73.2 °F,69.6 °F,48.6 °F,96 %,77 %,53 %,83 mph,10 mph,83 mph,29.66 in,29.55 in,29.43 in,0 in
3,79.7 °F,71.7 °F,63.7 °F,72.3 °F,68.9 °F,6.1 °F,99 %,86 %,10 %,22 mph,7 mph,22 mph,29.72 in,29.62 in,29.52 in,0.61 in
4,79.9 °F,68.7 °F,63.5 °F,72.5 °F,65.8 °F,24.6 °F,99 %,89 %,64 %,17 mph,3 mph,17 mph,29.87 in,29.71 in,29.54 in,0.77 in
5,87.8 °F,72.8 °F,57.7 °F,68 °F,53.5 °F,-34.8 °F,99 %,59 %,20 %,77 mph,3 mph,77 mph,30.08 in,29.85 in,29.63 in,0 in
6,95 °F,76.6 °F,58.1 °F,61.3 °F,49.3 °F,5.9 °F,90 %,40 %,10 %,18 mph,2 mph,18 mph,29.92 in,29.81 in,29.69 in,0 in
7,99.1 °F,81.9 °F,64.8 °F,60.1 °F,55.9 °F,29.3 °F,73 %,43 %,19 %,11 mph,3 mph,11 mph,29.83 in,29.74 in,29.65 in,0.14 in
8,92.5 °F,81.3 °F,70.2 °F,60.1 °F,56 °F,48 °F,61 %,43 %,24 %,20 mph,7 mph,20 mph,29.82 in,29.69 in,29.56 in,0 in
9,90.9 °F,80.4 °F,70 °F,59.2 °F,53.7 °F,46.4 °F,61 %,40 %,26 %,21 mph,7 mph,21 mph,29.87 in,29.71 in,29.55 in,0 in
10,90 °F,79.2 °F,68.4 °F,63.7 °F,57.2 °F,51.8 °F,73 %,48 %,29 %,21 mph,8 mph,21 mph,29.72 in,29.63 in,29.55 in,0 in
11,90 °F,80.1 °F,70.2 °F,66.4 °F,62.4 °F,57.9 °F,87 %,57 %,35 %,23 mph,10 mph,23 mph,29.61 in,29.54 in,29.47 in,0 in
12,91.8 °F,82.6 °F,73.4 °F,69.8 °F,64.3 °F,57.7 °F,84 %,58 %,33 %,17 mph,8 mph,104 mph,29.64 in,29.59 in,29.54 in,4.16 in
13,92.3 °F,82.7 °F,73 °F,70.7 °F,67 °F,47.7 °F,89 %,62 %,39 %,17 mph,7 mph,17 mph,29.69 in,29.61 in,29.53 in,0 in
14,93.6 °F,83.9 °F,74.5 °F,70.7 °F,67.7 °F,62.8 °F,88 %,62 %,40 %,17 mph,7 mph,17 mph,29.66 in,29.58 in,29.49 in,0 in
15,92.3 °F,83.5 °F,74.7 °F,70 °F,66.7 °F,59.2 °F,81 %,65 %,38 %,15 mph,5 mph,15 mph,29.69 in,29.6 in,29.52 in,0 in
16,97.9 °F,83.8 °F,69.6 °F,65.1 °F,62.1 °F,49.1 °F,82 %,54 %,27 %,12 mph,3 mph,12 mph,29.68 in,29.58 in,29.49 in,0 in
17,96.6 °F,83 °F,69.4 °F,65.5 °F,60.1 °F,51.8 °F,84 %,49 %,25 %,11 mph,4 mph,11 mph,29.6 in,29.51 in,29.43 in,0 in
18,99 °F,85.2 °F,71.8 °F,68.5 °F,63.5 °F,52 °F,88 %,51 %,22 %,16 mph,6 mph,16 mph,29.54 in,29.44 in,29.34 in,0 in
19,88.9 °F,81.2 °F,73.8 °F,69.6 °F,67.4 °F,55.6 °F,85 %,67 %,44 %,17 mph,8 mph,17 mph,29.54 in,29.47 in,29.39 in,0 in
20,94.8 °F,80.3 °F,65.8 °F,72 °F,65.6 °F,29.8 °F,99 %,74 %,10 %,179 mph,4 mph,179 mph,29.74 in,29.68 in,29.62 in,0.41 in
21,95.2 °F,81.2 °F,67.3 °F,70.2 °F,65.9 °F,61.9 °F,96 %,64 %,36 %,7 mph,2 mph,8 mph,29.72 in,29.65 in,29.58 in,0 in
22,92.7 °F,81.5 °F,70.3 °F,70.7 °F,66.9 °F,46.4 °F,93 %,64 %,40 %,12 mph,4 mph,12 mph,29.7 in,29.64 in,29.57 in,0 in
23,91.6 °F,86 °F,80.4 °F,66.9 °F,62.7 °F,58.6 °F,63 %,46 %,35 %,8 mph,4 mph,11 mph,29.71 in,29.66 in,29.61 in,0 in
24,94.1 °F,83.2 °F,72.5 °F,70.7 °F,65.9 °F,53.2 °F,88 %,57 %,35 %,11 mph,4 mph,11 mph,29.75 in,29.68 in,29.61 in,0.01 in
25,95.5 °F,83.1 °F,70.7 °F,72.1 °F,65.8 °F,55 °F,98 %,59 %,34 %,19 mph,5 mph,19 mph,29.66 in,29.57 in,29.48 in,0.19 in
26,103.5 °F,87.3 °F,71.2 °F,69.1 °F,64.8 °F,34 °F,87 %,52 %,26 %,98 mph,4 mph,11 mph,29.54 in,29.46 in,29.37 in,0 in
27,96.4 °F,87.2 °F,78.1 °F,73 °F,69.6 °F,44.2 °F,82 %,62 %,42 %,75 mph,4 mph,75 mph,29.51 in,29.47 in,29.43 in,4.46 in
28,97.3 °F,86.9 °F,76.5 °F,74.1 °F,66.4 °F,29.7 °F,88 %,53 %,30 %,11 mph,4 mph,11 mph,29.54 in,29.47 in,29.4 in,0 in
29,99 °F,88.2 °F,77.5 °F,71.4 °F,66.1 °F,61.2 °F,77 %,48 %,29 %,98 mph,5 mph,12 mph,29.47 in,29.4 in,29.33 in,0 in
30,97.7 °F,88.9 °F,80.2 °F,70.3 °F,68 °F,65.8 °F,69 %,52 %,39 %,17 mph,7 mph,17 mph,29.47 in,29.4 in,29.33 in,0 in
31,98.2 °F,87.3 °F,76.5 °F,71.1 °F,68.7 °F,65.5 °F,83 %,55 %,37 %,17 mph,9 mph,20 mph,29.52 in,29.44 in,29.37 in,0.02 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Jun,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,100.4 °F,89.1 °F,77.7 °F,72.1 °F,69.3 °F,61.7 °F,82 %,55 %,30 %,17 mph,7 mph,17 mph,29.56 in,29.5 in,29.44 in,4.56 in
2,102 °F,90.8 °F,79.5 °F,75.6 °F,71.3 °F,69.3 °F,79 %,55 %,37 %,14 mph,6 mph,17 mph,29.62 in,29.53 in,29.44 in,0.91 in
3,96.4 °F,86.9 °F,77.5 °F,74.1 °F,62.6 °F,49.3 °F,66 %,48 %,30 %,16 mph,6 mph,16 mph,29.77 in,29.69 in,29.62 in,0 in
4,85.8 °F,75.8 °F,65.8 °F,72.3 °F,65.1 °F,52.5 °F,99 %,69 %,40 %,9 mph,4 mph,14 mph,29.77 in,29.67 in,29.56 in,0.64 in
5,96.4 °F,84.9 °F,73.4 °F,74.1 °F,70.4 °F,60.6 °F,89 %,65 %,41 %,14 mph,6 mph,14 mph,29.59 in,29.51 in,29.43 in,0 in
6,97.3 °F,31.5 °F,-34.4 °F,76.6 °F,70.9 °F,-38.6 °F,99 %,63 %,35 %,18 mph,7 mph,18 mph,29.52 in,29.48 in,29.44 in,0.45 in
7,95.7 °F,84.6 °F,73.4 °F,73 °F,68.9 °F,61.5 °F,95 %,61 %,41 %,21 mph,7 mph,24 mph,29.7 in,29.6 in,29.49 in,0.21 in
8,99.1 °F,86.2 °F,73.4 °F,69.3 °F,64.9 °F,60.6 °F,84 %,48 %,30 %,14 mph,6 mph,14 mph,29.73 in,29.66 in,29.59 in,0 in
9,98.2 °F,88.4 °F,78.6 °F,71.4 °F,65 °F,57.2 °F,75 %,49 %,26 %,13 mph,6 mph,14 mph,29.73 in,29.65 in,29.56 in,0 in
10,101.7 °F,88.9 °F,76.1 °F,73.6 °F,67.6 °F,59.9 °F,85 %,54 %,31 %,19 mph,7 mph,19 mph,29.59 in,29.49 in,29.4 in,0 in
11,97.3 °F,88.4 °F,79.5 °F,72.5 °F,69.1 °F,64.4 °F,78 %,56 %,37 %,18 mph,9 mph,19 mph,29.5 in,29.44 in,29.38 in,0 in
12,98.2 °F,88.6 °F,79 °F,73.2 °F,69 °F,62.6 °F,80 %,56 %,35 %,102 mph,9 mph,102 mph,29.63 in,29.55 in,29.47 in,0 in
13,102.6 °F,83.6 °F,64.6 °F,72.5 °F,65.3 °F,25.7 °F,74 %,46 %,10 %,42 mph,7 mph,42 mph,29.71 in,29.63 in,29.56 in,0 in
14,99.5 °F,90.5 °F,81.5 °F,67.5 °F,63.1 °F,57.9 °F,60 %,41 %,26 %,30 mph,7 mph,30 mph,29.68 in,29.6 in,29.52 in,0 in
15,98.2 °F,82.4 °F,66.6 °F,70.3 °F,66.2 °F,28.4 °F,75 %,49 %,27 %,15 mph,7 mph,15 mph,29.62 in,29.55 in,29.47 in,0 in
16,97 °F,87.9 °F,78.8 °F,72.9 °F,67.8 °F,34.3 °F,78 %,52 %,36 %,17 mph,9 mph,17 mph,29.6 in,29.54 in,29.48 in,0 in
17,97.2 °F,87.6 °F,78.1 °F,73.6 °F,69.6 °F,66.6 °F,78 %,58 %,39 %,16 mph,7 mph,16 mph,29.65 in,29.6 in,29.54 in,0 in
18,93.7 °F,85.7 °F,77.7 °F,74.5 °F,71.4 °F,44.2 °F,89 %,69 %,43 %,18 mph,8 mph,18 mph,29.68 in,29.62 in,29.56 in,0 in
19,88.3 °F,80.8 °F,73.2 °F,75.6 °F,71.4 °F,51.3 °F,99 %,75 %,52 %,15 mph,6 mph,15 mph,29.65 in,29.58 in,29.52 in,0.09 in
20,95 °F,85.7 °F,76.5 °F,76.8 °F,72.2 °F,68.4 °F,93 %,66 %,44 %,15 mph,4 mph,15 mph,29.58 in,29.51 in,29.45 in,0.02 in
21,104.5 °F,90.5 °F,76.5 °F,77.5 °F,69.6 °F,57.7 °F,98 %,58 %,22 %,10 mph,2 mph,10 mph,29.59 in,29.53 in,29.47 in,0 in
